,name,district,picture,role,spg_address_line1,spg_address_line2,spg_address_line3,spg_phone_number,dst_address_line1,dst_address_line2,dst_address_line3,dst_phne_number,bio,associate_reps
10,Rachelle Crowe (D),56th,http://www.ilga.gov/images/members/{05406617-A6A5-4533-852E-04678B860D88}.jpg,none,Senator 56th District,311B Capitol Building,"Springfield, IL   62706    ",(217) 782-5247,111 N. Wood River Ave.,Suite A,"Wood River, IL  62095    ",(618) 251-9840,"Years served:  Committee assignments: Appropriations II; Committee of the Whole; Criminal Law; Judiciary (Vice-Chairperson); Labor; Licensed Activities; Veterans Affairs; Subcommittee on Capital (AP); Subcommittee on Tort Reform (Sub-Vice-Chairperson); Sub. on the Const.& Redistricting (Sub-Vice-Chairperson); Opioid Crisis Abatement Spec. Com. (Chairperson).Biography: Born and raised in Wood River; Attended Lewis and Clark Community College and the University of Missouri-St. Louis;  Graduate of Saint Louis University School of Law; Violent Crimes Division prosecutor for Madison County State's Attorney office; Devoted to improving public safety, education and job training programs; lives in Glen Carbon with her husband, Jim, and their two children

","['Monica Bristow', 'Katie Stuart']"
11,Thomas Cullerton (D),23rd,http://www.ilga.gov/images/members/{A0AAC8CC-CA27-4DD9-9F4F-E1EA4C12B0E3}.jpg,none,Senator 23rd District,123  Capitol Building,"Springfield, IL   62706    ",(217) 782-9463,338 South Ardmore Ave.,"Villa Park, IL  60181    ",(630) 903-6662,(630) 903-6643 FAX,"Years served:  2013 - PresentCommittee assignments: Committee of the Whole; Energy and Public Utilities; Insurance; Labor; State Government; Transportation; Veterans Affairs (Chairperson); Sub. on Utility Rate Regulations (Sub-Chairperson).Biography: Dedicated full time legislator; studied at University of Kansas; Veteran Infantryman US Army; Former Village Trustee and Village President of the Village of Villa Park; 2016 Legislator of  the Year Transform Illinois; 2016 Legislator of the Year Illinois Association of Park Districts; resides in Villa Park, Ill with his wife Stacey, three sons and their shelter dog Brenna.","['Diane Pappas', 'Deb Conroy']"
12,Bill Cunningham (D),18th,http://www.ilga.gov/images/members/{402F0454-4EAF-4721-993D-53C7459BA35B}.jpg,none,Senator 18th District,307 Capitol Building,"Springfield, IL   62706    ",(217) 782-5145,10400 South Western Ave.,"Chicago, IL  60643    ",(773) 445-8128,Additional District Addresses,"Years served:  2011 - 2012 (House); 2013 - Present (Senate)Committee assignments: Agriculture; Committee of the Whole; Energy and Public Utilities (Chairperson); Executive Appointments; Higher Education; Insurance; State Government.Biography: Biography: Born July 21, 1967. Full-time state legislator and lifelong resident of the 18th Senate District. Graduate of Mt. Carmel High School; B.A. in Political Science from the University of Illinois-Chicago. Former Chief of Staff and Director of Communications for the Cook County Sheriff's Office. Previously served as a State Representative (2011-13) and as an elected member of the Sutherland Local School Council. Current Chairman of the Senate Energy and Public Utilities Committee. Resides in Chicago's Beverly community with wife, Juliana, and two daughters, Madeline and Olivia. 
","['Frances Ann Hurley', 'Kelly M. Burke']"
13,John F. Curran (R),41st,http://www.ilga.gov/images/members/{7FC724D0-C297-4D20-AC25-3D879DE286B8}.jpg,none,Senator 41st District,105A Capitol Building,"Springfield, IL   62706    ",(217) 782-9407,7501 Lemont Road,Suite 315G,"Woodridge, IL  60517    ",(630) 796-2623,(630) 796-2658 FAX,"['Anne Stava-Murray', 'Jim Durkin']"
14,Laura Ellman (D),21st,http://www.ilga.gov/images/members/{423E6DDE-1AFB-4F10-A767-C869B0E51483}.jpg,none,Senator 21st District,M122 Capitol Building,"Springfield, IL   62706    ",(217) 782-8192,552 S. Washington St.,Suite 104,"Naperville, IL  60540    ",(630) 453-5488,"Years served:  Committee assignments: Agriculture; Appropriations I; Committee of the Whole; Energy and Public Utilities; Government Accountability/Pensions; Higher Education (Vice-Chairperson); Veterans Affairs; Subcommittee on Special Issues (EP).Biography: Assessor at Argonne National Laboratory; has over 25 years of experience working in manufacturing and engineering and dealing with regulations and policies; B.A. in mathematics from Grinnell College; M.A. in applied statistics from the University of Iowa; volunteers with Habitat for Humanity, Feed My Starving Children, and as an ESL tutor; lives in Naperville with husband Pete, daughter Lizzie, and son Barrett","['Grant Wehrli', 'Amy Grant']"
15,Laura Fine (D),9th,http://www.ilga.gov/images/members/{A4F70929-881C-4003-B10A-D1A775D3D94B}.jpg,none,Senator 9th District,M115 Capitol Building,"Springfield, IL   62706    ",(217) 782-2119,1812 Waukegan Road,Suite A,"Glenview, IL  60025    ",(847) 998-1717,"Years served:  Committee assignments: Appropriations II; Committee of the Whole; Environment and Conservation; Human Services (Vice-Chairperson); Insurance; Local Government; Public Health; Subcommittee on Local Policies; Subcommittee on Special Issues (IN) (Sub-Chairperson).Biography: Full-time legislator; B.A. in telecommunications, Indiana University; M.A. in political science, Northeastern Illinois University; graduate of the Illinois Women's Institute for Leadership; the Bowhay Institute for Legislative Leadership Development; an Edgar Fellow and a Henry Toll Fellow; member, Legislative Committee of the Interstate Insurance Product Regulation Commission, Executive Committee member of the Great Lakes Legislative Caucus, Emerging Adult Justice Learning Community, Kiwanis Club of Glenview-Northbrook, Rotary Club of Glenview Sunrise, Glenview League of Women Voters; former journalist; former instructor, Northeastern Illinois University; former Northfield Township Clerk; married, has two children.","['Jennifer Gong-Gershowitz', 'Robyn Gabel']"
16,Dale Fowler (R),59th,http://www.ilga.gov/images/members/{1E60CA94-7006-4CAB-841D-C9D99569D9D3}.jpg,none,Senator 59th District,M103C Capitol  Building,"Springfield, IL   62706    ",(217) 782-5509,2 North Vine,Suite 600,"Harrisburg, IL  62946    ",(618) 294-8951,(618) 294-8950 FAX,"['Dave Severin', 'Patrick Windhorst']"
17,Ann Gillespie (D),27th,http://www.ilga.gov/images/members/{D11CC547-0960-44F1-80C9-99F8CE5D5479}.jpg,none,Senator 27th District,108D Capitol Building,"Springfield, IL   62706    ",(217) 782-4471,120 W. Eastman,Suite 207,"Arlington Heights, IL  60004    ",(847) 749-1880,"Years served:  Committee assignments: Appropriations I; Commerce and Economic Development (Vice-Chairperson); Committee of the Whole; Education; Government Accountability/Pensions; Insurance; Judiciary; Oversight Medicaid Mang. Care, Spec; Subcommittee on Civil Rights (Sub-Vice-Chairperson); Subcommittee on Firearms (Sub-Vice-Chairperson).Biography: Lifelong resident of the Northwest suburbs. Full-time state legislator. Retired from health care industry. Bachelor's degree in history from the University of Illinois Urbana-Champaign; law degree from DePaul University College of Law. Mother of two adult children, Kevin and Gillian. Resident of Arlington Heights since 1991. 

","['Mark L. Walker', 'Thomas Morrison']"
18,Suzy Glowiak Hilton (D),24th,http://www.ilga.gov/images/members/{8DE2D7E5-9F3D-43FD-B0EC-0010BDA8849A}.jpg,none,Senator 24th District,124 Capitol Building,"Springfield, IL   62706    ",(217) 782-8148,17W715 East  Butterfield Rd,Suite F,"Oakbrook Terrace, IL  60181    ",(630) 785-3177,"Years served:  Committee assignments: Appropriations II; Committee of the Whole; Education; Energy and Public Utilities; Insurance; Labor (Vice-Chairperson); Local Government; Sub. on Utility Rate Regulations.Biography: Suzy Glowiak (D-Western Springs), a mechanical engineer by trade, believes in working in a bipartisan manner to promote compromise and collaboration in order to find meaningful solutions to lower property tax bills, ensure our schools and universities have the resources to be successful and keep Illinois' children safe; Former Village Trustee in Western Springs where she served as a voice for balanced budgets; Illinois Institute of Technology (B.S. in Mechanical Engineering); Northwestern University (Masters in Manufacturing Engineering); Mother of three children","['Deanne M. Mazzochi', 'Terra Costa Howard']"
19,Don Harmon (D),39th,http://www.ilga.gov/images/members/{CF3F6473-4E6D-4E84-A0A4-4FF7335132E2}.jpg,Assistant Majority Leader,Senator 39th District,329B Capitol Building,"Springfield, IL   62706    ",(217) 782-8176,6941-B W. North Avenue,"Oak Park, IL  60302    ",(708) 848-2002,(708) 848-2022 FAX,"Years served:  2003 - PresentCommittee assignments: Assignments (Vice-Chairperson); Committee of the Whole; Energy and Public Utilities; Executive (Vice-Chairperson); Judiciary (Chairperson); Labor; Revenue; Subcommittee on Election Law (Sub-Chairperson); Subcommittee on Const. Amendments (Sub-Chairperson); Subcommittee on Business Entities (Sub-Chairperson).Biography: Attorney; born 1966, in Oak Park; graduated St. Ignatius High School; B.A., Knox College; J.D. and M.B.A., University of Chicago; married (wife, Teresa), has three children:  Don, Frances, and Margaret.","['Kathleen Willis', 'Camille Y. Lilly']"
20,"Napoleon Harris, III (D)",15th,http://www.ilga.gov/images/members/{87402198-6E85-4CFE-BDD2-B9DC58948869}.jpg,none,Senator 15th District,M113 Capitol Building,"Springfield, IL   62706    ",(217) 782-8066,1350 E. Sibley Blvd.,Suite 403,"Dolton, IL  60419    ",(708) 893-0552,(708) 566-4108 FAX,"['Thaddeus Jones', 'William Davis']"
21,Michael E. Hastings (D),19th,http://www.ilga.gov/images/members/{C6E534EB-7243-4687-8A65-04BD4DA5DF72}.jpg,none,Senator 19th District,118 Capitol Building,"Springfield, IL   62706    ",(217) 782-9595,20855 South LaGrange Road,Suite 102,"Frankfort, IL  60423    ",(815) 464-5431,Additional District Addresses,"['Margo McDermed', 'Debbie Meyers-Martin']"
22,Linda Holmes (D),42nd,http://www.ilga.gov/images/members/{9A39C8B9-4B06-4BF7-85CE-4C6F4FD07769}.jpg,Majority Caucus Whip,Senator 42nd District,129 Capitol Building,"Springfield, IL   62706    ",(217) 782-0422,76 S. LaSalle Street,Suite 202,"Aurora, IL  60505    ",(630) 801-8985,(630) 801-8987 FAX,"['Barbara Hernandez', 'Stephanie A. Kifowit']"
23,Mattie Hunter (D),3rd,http://www.ilga.gov/images/members/{F4630DDB-11F0-417E-8C0A-B4ED6426116F}.jpg,Majority Caucus Chair,Senator 3rd District,619 Capitol Building,"Springfield, IL   62706    ",(217) 782-5966,2929 S. Wabash Avenue,Suite 102,"Chicago, IL  60616    ",(312) 949-1908,(312) 949-1958 FAX,"['Lamont J. Robinson, Jr.', 'Sonya M. Harper']"
24,"Emil Jones, III (D)",14th,http://www.ilga.gov/images/members/{2C0EE719-E9D8-4625-990D-69FCE146BC0F}.jpg,none,Senator 14th District,108B Capitol Building,"Springfield, IL   62706    ",(217) 782-9573,507 West 111th Street,"Chicago, IL  60628    ",(773) 995-7748,(773) 995-9061 FAX,"Years served:  2009 - PresentCommittee assignments: Committee of the Whole; Energy and Public Utilities; Higher Education; Licensed Activities (Chairperson); Transportation; Veterans Affairs; Oversight Medicaid Mang. Care, Spec; Financial Institutions.Biography: born May 16th, 1978, in Chicago; son of former Senate President Emil Jones Jr. and the late Patricia Jones; graduated from Chicago Christian High School in Palos Heights; attended Chicago State University and Robert Morris College in Chicago; former administrator at the Illinois Department of Commerce and Economic Opportunity. 

","['Justin Slaughter', 'Robert Rita']"
25,Patrick J. Joyce (D),40th,http://www.ilga.gov/images/members/{39D6F100-DAEC-4C4B-A4F5-F20299B79152}.jpg,none,Senator 40th District,108A Capitol Building,"Springfield, IL   62706    ",(217) 782-7419,270 Main St.,"Park Forest, IL  60466    ",(708) 756-0882,(708) 756-0885 FAX,"Years served:  November 2019-PresentCommittee assignments: Public Health; Opioid Crisis Abatement Spec. Com.; Committee of the Whole.Biography: Fourth generation farmer; grew up Reddick, Illinois, now resides in Essex, Illinois; B.A. in Agribusiness, Illinois State University; 19-year member of the Kankakee County Farm Bureau Board of Directors; lifelong advocate for conservation and environmental awareness; 25-year owner and operator of his family-owned farm; married, father of three, lost one daughter to leukemia in 2011; has since become a team leader for the Leukemia Lymphoma Society.","['Lindsay Parkhurst', 'Anthony DeLuca']"
26,David Koehler (D),46th,http://www.ilga.gov/images/members/{2C57E551-D82A-4C7D-8746-3F83913F0D7D}.jpg,Assistant Majority Leader,Senator 46th District,323B Capitol Building,"Springfield, IL   62706    ",(217) 782-8250,400 NE. Jefferson,Suite 200,"Peoria, IL  61603    ",(309) 677-0120,"Years served:  Elected November 2006, Appointed December 2006 - PresentCommittee assignments: Agriculture; Committee of the Whole; Education; Environment and Conservation (Vice-Chairperson); Labor; Local Government; Transportation; Subcommittee on Capital (TR); Oversight Medicaid Mang. Care, Spec; Supplier Diversity, Special Com. On; Sub. on Interscholastic Athletics (Sub-Chairperson).Biography: Born and raised in South Dakota, moved to Peoria in 1978; B.A., Yankton College, 1971; M.A. in divinity, United Theological Seminary, 1974; staff member, National Farm Worker Ministry; community organizer and program manager, Peoria Friendship House; executive director, Peoria Area Labor Management Council; president, Labor Management Cooperative Health Programs Inc.; Peoria County Board member, 1982-88; Peoria City Council member, 1989-97 (mayor pro tem, 1993-94); member of the NCSL Natural Resources and Infrastructure Committee and Task Force on Energy Supply; first elected to Senate in  November 2006; appointed to Senate in December 2006 to fill term of retiring Senator George Shadid; married with three daughters, two sons-in-law, one daughter-in-law,  two granddaughters and one grandson.","['Michael D. Unes', 'Jehan Gordon-Booth']"
27,Steven M. Landek (D),12th,http://www.ilga.gov/images/members/{CB30B8CB-1FBB-4869-A78E-D08AF0616D74}.jpg,none,Senator 12th District,113 Capitol Building,"Springfield, IL   62706    ",(217) 782-0054,6215 W. 79th Street,Suite 1A,"Burbank, IL  60459    ",(708) 430-2510,"Years served:  2011 - PresentCommittee assignments: Appropriations II; Committee of the Whole; Government Accountability/Pensions; Insurance; Local Government; State Government (Chairperson); Subcommittee on Local Policies (Sub-Chairperson).Biography: Appointed to the Senate in 2011, re-elected in 2012; received a bachelor's degree in public administration from Roosevelt University; first elected park district commissioner in 1975; currently serves as Mayor of Bridgeview.","['Michael J. Zalewski', 'Elizabeth Hernandez']"
28,Kimberly A. Lightford (D),4th,http://www.ilga.gov/images/members/{7FBA8DB0-281E-406F-BF9F-ABEB75B7B38E}.jpg,Senate Majority Leader,Senator 4th District,329A Capitol Building,"Springfield, IL   62706    ",(217) 782-8505,4415 Harrison St.,Suite 550,"Hillside, IL  60162    ",(708) 632-4500,(708) 632-4515 FAX,"['Emanuel Chris Welch', 'La Shawn K. Ford']"
29,Terry Link (D),30th,http://www.ilga.gov/images/members/{2F06AA07-1281-4363-A31D-3C7AFD0D3963}.jpg,Assistant Majority Leader,Senator 30th District,321 Capitol Building,"Springfield, IL   62706    ",(217) 782-8181,100 South Greenleaf Street,"Gurnee, IL  60031    ",(847) 623-3006,(847) 623-3306 FAX,"Years served:  1997 - PresentCommittee assignments: Assignments; Committee of the Whole; Energy and Public Utilities; Executive Appointments; Executive; Financial Institutions (Vice-Chairperson); Insurance; Subcommittee on Gaming (Sub-Chairperson).Biography: Born March 20, 1947, in Waukegan; attended Stout State University; married (wife, Susan McCall Link), has four children.","['Daniel Didech', 'Rita Mayfield']"
30,Andy Manar (D),48th,http://www.ilga.gov/images/members/{385C74DA-9ACC-41E3-99D3-08A6A1EC1FC9}.jpg,none,Senator 48th District,119A Capitol Building,"Springfield, IL   62706    ",(217) 782-0228,115 N. Washington Street,P.O. Box 636,"Bunker Hill, IL  62014    ",(618) 585-4848,Additional District Addresses,"['Avery Bourne', 'Sue Scherer']"
31,Iris Y. Martinez (D),20th,http://www.ilga.gov/images/members/{274BFBAB-00D7-4DB2-A9CD-FFABCDA5AD08}.jpg,Assistant Majority Leader,Senator 20th District,413 Capitol Building,"Springfield, IL   62706    ",(217) 782-8191,2921 N. Milwaukee Ave.,"Chicago, IL  60618    ",(773) 278-2020,(773) 278-6407 FAX,"Years served:  2003 - PresentCommittee assignments: Commerce and Economic Development; Committee of the Whole; Education; Energy and Public Utilities; Executive; Government Accountability/Pensions (Vice-Chairperson); Transportation; Subcommittee on Gov. Operations; Pension Investments Special Com. On (Co-Chairperson); Revenue (Chairperson).Biography: Born Feb. 25, 1956, in Chicago; earned her bachelor's degree in public policy and administration from Northeastern Illinois University in 2009; past president of the National Hispanic Caucus of State Legislators; has one daughter.

","['Will Guzzardi', 'Jaime M. Andrade, Jr.']"
32,Robert F. Martwick (D),10th,http://www.ilga.gov/images/members/{8FA2A22C-6775-4098-905C-0C7D8BBD7AEE}.jpg,none,Senator 10th District,127 Capitol Building,"Springfield, IL   62706    ",(217) 782-1035,6315 N. Milwaukee Ave.,Suite 101,"Chicago, IL  60646    ",(773) 286-1115,"Years served:  2019-PresentCommittee assignments: Public Health; Judiciary; Criminal Law; Government Accountability/Pensions; Licensed Activities; Insurance (Vice-Chairperson); Committee of the Whole.Biography: Attorney; B.A., economics, Boston College; J.D., John Marshall Law School; former Cook County Assistant State's Attorney, in areas of domestic violence, child support enforcement, DUI and general criminal prosecutions; former trustee, Norwood Park Township; former trustee, Village of Norridge; married.","['Lindsey LaPointe', 'Bradley Stephens']"
33,Steve McClure (R),50th,http://www.ilga.gov/images/members/{EB86B3C4-3F25-4D5C-8944-7B4CBCA7CACE}.jpg,none,Senator 50th District,218 Capitol Building,"Springfield, IL   62706    ",(217) 782-8206,229 S. Main St.,Suite B,"Jacksonville, IL  62650    ",(217) 245-7456,"Years served:  2019- PresentCommittee assignments: Committee of the Whole; Agriculture; Criminal Law; Energy and Public Utilities; Higher Education (Minority Spokesperson); Local Government; Public Health; State Government; Supplier Diversity, Special Com. On; Pension Investments Special Com. On; Sub. on Utility Rate Regulations; Subcommittee on CLEAR Compliance; Subcommittee on Prisons.Biography: State Senator Steve McClure was born March 8, 1984 in Springfield. He was elected in November 2018 and sworn into office on January 9, 2019. He is a former prosecutor who was chief of the Juvenile Division, and later served in the Felony Division in the Sangamon County State's Attorney's Office in Springfield. He graduated from Valparaiso University School of Law in Indiana, earned a master's degree from the University of Illinois at Springfield in political studies, and has two bachelor's degrees from Arizona State University in political science and history.","['Mike Murphy', 'C.D. Davidsmeyer']"
34,Dan McConchie (R),26th,http://www.ilga.gov/images/members/{B3DB61E4-CBA1-4E2C-9DC7-4EEE9F52BCD7}.jpg,none,Senator 26th District,309H  Capitol Building,"Springfield, IL   62706    ",(217) 782-8010,325 N. Rand Road,Suite B,"Lake Zurich, IL  60047    ",(224) 662-4544,"Years served:  Committee assignments: Committee of the Whole; Appropriations II (Minority Spokesperson); Higher Education; Insurance; Labor; Public Health; State Government (Minority Spokesperson); Telecommunications & InfoTechnology; Subcommittee on Capital (AP); Supplier Diversity, Special Com. On (Minority Spokesperson).Biography: Senior Advisor to The Shelby Group; served nine years in the Army National Guard; Member of the Board of Regents for The Fund for American Studies; Member of the Board of Directors of Informed Choices Pregnancy & Parenting in Grayslake and Crystal Lake; Lives in Hawthorn Woods; Married (Milena); two daughters.","['Mary Edly-Allen', 'David McSweeney']"
35,Pat McGuire (D),43rd,http://www.ilga.gov/images/members/{7994F2D1-3BE5-4722-915A-13C69FB3766C}.jpg,none,Senator 43rd District,417C Capitol Building,"Springfield, IL   62706    ",(217) 782-8800,16151 Weber Road,Suite 103,"Crest Hill, IL  60403    ",(815) 207-4445,"Years served:  2012-PresentCommittee assignments: Appropriations II; Committee of the Whole; Environment and Conservation; Higher Education (Chairperson); Revenue; State Government (Vice-Chairperson); Transportation; Subcommittee on Capital (TR); Subcommittee on Prisons (Sub-Chairperson).Biography: Former teacher, school board member, Will County treasurer and Braidwood City Clerk; attended Joliet Catholic schools from first grade through college; married (Lora) with one daughter (Molly).","['John Connor', 'Lawrence Walsh, Jr.']"
36,Julie A. Morrison (D),29th,http://www.ilga.gov/images/members/{0E6BF8A6-C5C8-4F54-977B-D5FD11707FA5}.jpg,none,Senator 29th District,122  Capitol Building,"Springfield, IL   62706    ",(217) 782-3650,700 Osterman Ave.,Suite 3,"Deerfield, IL  60015    ",(847) 945-5200,"Years served:  2013 - PresentCommittee assignments: Committee of the Whole; Environment and Conservation; Human Services (Chairperson); Public Health (Vice-Chairperson); Transportation; Oversight Medicaid Mang. Care, Spec; Local Government.Biography: Elected to the Senate in 2012; born in Beardstown; received a bachelor's degree from Knox College; served as supervisor of West Deerfield Township, married to husband Joe with three grown children.","['Jonathan Carroll', 'Bob Morgan']"
37,Antonio Muñoz (D),1st,http://www.ilga.gov/images/members/{C4AA7682-5256-4C1D-A7C6-90953534A514}.jpg,Assistant Majority Leader,Senator 1st District,323A Capitol Building,"Springfield, IL   62706    ",(217) 782-9415,1836 West 35th Street,"Chicago, IL  60609    ",(773) 869-9050,(773) 869-9046 FAX,"Years served:  1999 - PresentCommittee assignments: Assignments; Committee of the Whole; Executive Appointments (Chairperson); Executive; Insurance; Veterans Affairs; Energy and Public Utilities.Biography: Born February 18, 1964, in Chicago; served in U.S. Army with the 82nd Airborne Division; retired Chicago police officer; married, has three children.
","['Aaron M. Ortiz', 'Theresa Mah']"
38,Laura M. Murphy (D),28th,http://www.ilga.gov/images/members/{E8C6FBF1-611C-4DD5-A81D-F0FF8917556D}.jpg,none,Senator 28th District,108E  Capitol Building,"Springfield, IL   62706    ",(217) 782-3875,880 Lee Street,Suite 100,"Des Plaines, IL  60016    ",(847) 718-1110,Years served:  Committee assignments: Appropriations I; Commerce and Economic Development (Chairperson); Committee of the Whole; Financial Institutions; Higher Education; Insurance; Public Health; Executive Appointments.Biography: Park Ridge native; B.S. in Political Science from Illinois State University; former Des Plaines alderman; currently lives in Des Plaines with her husband and son.,"['Martin J. Moylan', 'Michelle Mussman']"
